allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref,org_token
AL000041,EV000097,CPL-R00054,2672,USD,2023-09-22T13:29:23-05:00,CPL/SRC/allocations/00097,WCP
AL000042,EV000099,CPL-R00055,5662,USD,2023-08-10T11:32:24-05:00,CPL/SRC/allocations/00099,WCP
AL000043,EV000101,CPL-R00056,2398,USD,2023-03-02T01:02:53-06:00,CPL/SRC/allocations/00101,WCP
AL000044,EV000106,CPL-R00059,13350,USD,2023-02-26T05:17:57-06:00,CPL/SRC/allocations/00106,WCP
AL000045,EV000108,CPL-R00060,83236,USD,2023-10-23T03:44:35-05:00,CPL/SRC/allocations/00108,WCP
AL000046,EV000110,CPL-R00061,37700,USD,2023-03-23T23:56:57-05:00,CPL/SRC/allocations/00110,WCP
AL000047,EV000114,CPL-R00063,10453,USD,2023-01-15T07:34:59-06:00,CPL/SRC/allocations/00114,WCP
AL000048,EV000116,CPL-R00064,12462,USD,2023-07-20T23:29:37-05:00,CPL/SRC/allocations/00116,WCP
AL000049,EV000118,CPL-R00065,10226,USD,2022-08-31T14:42:40-05:00,CPL/SRC/allocations/00118,WCP
AL000050,EV000124,CPL-R00069,19005,USD,2023-10-14T00:38:32-05:00,CPL/SRC/allocations/00125,WCP
AL000051,EV000124,CPL-R00070,18658,USD,2023-10-09T10:54:53-05:00,CPL/SRC/allocations/00125,WCP
AL000052,EV000128,CPL-R00072,22103,USD,2023-05-18T19:07:34-05:00,CPL/SRC/allocations/00128,WCP
AL000053,EV000131,CPL-R00074,3915,USD,2023-01-27T05:25:24-06:00,CPL/SRC/allocations/00131,WCP
AL000054,EV000134,CPL-R00076,9961,USD,2022-09-05T03:54:33-05:00,CPL/SRC/allocations/00134,WCP
AL000055,EV000136,CPL-R00077,5473,USD,2023-04-26T13:26:00-05:00,CPL/SRC/allocations/00136,WCP
AL000056,EV000138,CPL-R00078,14692,USD,2023-02-21T19:57:03-06:00,CPL/SRC/allocations/00138,WCP
AL000057,EV000140,CPL-R00079,12274,USD,2023-07-07T03:30:41-05:00,CPL/SRC/allocations/00140,WCP
AL000058,EV000142,CPL-R00080,27724,USD,2023-09-20T18:06:43-05:00,CPL/SRC/allocations/00142,WCP
AL000059,EV000145,CPL-R00082,7960,USD,2022-09-12T12:22:00-05:00,CPL/SRC/allocations/00146,WCP
AL000060,EV000145,CPL-R00083,9054,USD,2022-09-12T16:10:53-05:00,CPL/SRC/allocations/00146,WCP
AL000061,EV000148,CPL-R00084,85613,USD,2022-09-05T14:00:54-05:00,CPL/SRC/allocations/00148,WCP
AL000062,EV000150,CPL-R00085,40380,USD,2022-09-19T13:28:19-05:00,CPL/SRC/allocations/00150,WCP
AL000063,EV000154,CPL-R00087,3620,USD,2022-09-26T14:25:01-05:00,CPL/SRC/allocations/00155,WCP
AL000064,EV000154,CPL-R00088,2429,USD,2022-09-30T03:09:11-05:00,CPL/SRC/allocations/00155,WCP
AL000065,EV000157,CPL-R00089,5464,USD,2022-08-14T10:05:47-05:00,CPL/SRC/allocations/00157,WCP
AL000066,EV000159,CPL-R00090,4193,USD,2023-09-19T11:41:21-05:00,CPL/SRC/allocations/00159,WCP
AL000067,EV000161,CPL-R00091,19489,USD,2023-03-06T18:05:14-06:00,CPL/SRC/allocations/00161,WCP
AL000068,EV000164,CPL-R00093,13877,USD,2022-11-18T18:45:27-06:00,CPL/SRC/allocations/00164,WCP
AL000069,EV000166,CPL-R00094,8351,USD,2022-10-31T10:26:11-05:00,CPL/SRC/allocations/00166,WCP
AL000070,EV000168,CPL-R00095,11612,USD,2022-08-26T17:41:12-05:00,CPL/SRC/allocations/00168,WCP
AL000071,EV000170,CPL-R00096,7764,USD,2023-02-13T10:01:43-06:00,CPL/SRC/allocations/00170,WCP
AL000072,EV000172,CPL-R00097,16013,USD,2022-08-29T16:58:04-05:00,CPL/SRC/allocations/00172,WCP
AL000073,EV000174,CPL-R00098,14523,USD,2022-09-12T09:40:55-05:00,CPL/SRC/allocations/00174,WCP
AL000074,EV000176,CPL-R00099,8610,USD,2023-10-12T03:49:56-05:00,CPL/SRC/allocations/00176,WCP
AL000075,EV000178,CPL-R00100,4212,USD,2023-06-06T16:38:13-05:00,CPL/SRC/allocations/00179,WCP
AL000076,EV000178,CPL-R00101,3144,USD,2023-06-07T16:13:04-05:00,CPL/SRC/allocations/00179,WCP
AL000077,EV000181,CPL-R00102,37988,USD,2023-04-30T09:20:11-05:00,CPL/SRC/allocations/00181,WCP
AL000078,EV000183,CPL-R00103,4945,USD,2023-07-23T07:47:34-05:00,CPL/SRC/allocations/00183,WCP
AL000079,EV000188,CPL-R00106,26496,USD,2022-10-27T18:51:33-05:00,CPL/SRC/allocations/00188,WCP
AL000080,EV000192,CPL-R00108,15735,USD,2023-01-09T19:11:31-06:00,CPL/SRC/allocations/00192,WCP
AL000081,EV000194,CPL-R00109,12635,USD,2022-08-11T14:55:43-05:00,CPL/SRC/allocations/00194,WCP
AL000082,EV000200,CPL-R00112,19069,USD,2022-08-03T05:34:42-05:00,CPL/SRC/allocations/00200,WCP
AL000083,EV000202,CPL-R00113,2970,USD,2023-05-15T16:23:26-05:00,CPL/SRC/allocations/00202,WCP
AL000084,EV000204,CPL-R00114,15445,USD,2022-11-14T19:26:47-06:00,CPL/SRC/allocations/00204,WCP
AL000085,EV000206,CPL-R00115,4491,USD,2022-10-24T15:03:53-05:00,CPL/SRC/allocations/00206,WCP
AL000086,EV000208,CPL-R00116,9657,USD,2022-10-11T13:47:52-05:00,CPL/SRC/allocations/00208,WCP
AL000087,EV000210,CPL-R00117,5242,USD,2023-05-29T22:23:02-05:00,CPL/SRC/allocations/00210,WCP
AL000088,EV000212,CPL-R00118,13137,USD,2022-07-25T13:09:39-05:00,CPL/SRC/allocations/00212,WCP
AL000089,EV000214,CPL-R00119,68435,USD,2023-09-19T23:14:56-05:00,CPL/SRC/allocations/00214,WCP
AL000090,EV000216,CPL-R00120,1617,USD,2023-06-13T18:54:47-05:00,CPL/SRC/allocations/00216,WCP
AL000091,EV000218,CPL-R00121,9511,USD,2023-02-01T17:29:30-06:00,CPL/SRC/allocations/00218,WCP
AL000092,EV000220,CPL-R00122,8515,USD,2023-01-19T23:33:02-06:00,CPL/SRC/allocations/00220,WCP
AL000093,EV000222,CPL-R00123,40881,USD,2023-09-15T13:57:05-05:00,CPL/SRC/allocations/00222,WCP
AL000094,EV000224,CPL-R00124,2092,USD,2022-11-19T09:45:01-06:00,CPL/SRC/allocations/00225,WCP
AL000095,EV000224,CPL-R00125,2048,USD,2022-11-16T18:12:35-06:00,CPL/SRC/allocations/00225,WCP
AL000096,EV000229,CPL-R00127,27063,USD,2023-06-26T21:58:06-05:00,CPL/SRC/allocations/00229,WCP
AL000097,EV000231,CPL-R00128,4193,USD,2022-12-23T11:41:15-06:00,CPL/SRC/allocations/00231,WCP
AL000098,EV000233,CPL-R00129,17644,USD,2023-10-08T00:43:00-05:00,CPL/SRC/allocations/00233,WCP
AL000099,EV000235,CPL-R00130,58887,USD,2023-03-27T17:32:29-05:00,CPL/SRC/allocations/00235,WCP
AL000100,EV000238,CPL-R00132,8099,USD,2022-11-14T10:28:46-06:00,CPL/SRC/allocations/00238,WCP
AL000101,EV000240,CPL-R00133,16404,USD,2023-09-26T19:19:22-05:00,CPL/SRC/allocations/00240,WCP
AL000102,EV000244,CPL-R00135,10521,USD,2022-12-12T11:50:51-06:00,CPL/SRC/allocations/00244,WCP
AL000103,EV000248,CPL-R00137,5384,USD,2022-11-03T11:37:03-05:00,CPL/SRC/allocations/00248,WCP
AL000104,EV000252,CPL-R00139,14705,USD,2023-04-10T16:34:06-05:00,CPL/SRC/allocations/00252,WCP
AL000105,EV000254,CPL-R00140,13516,USD,2022-11-24T20:43:06-06:00,CPL/SRC/allocations/00254,WCP
AL000106,EV000258,CPL-R00143,52923,USD,2023-01-19T23:50:31-06:00,CPL/SRC/allocations/00258,WCP
AL000107,EV000260,CPL-R00144,90517,USD,2022-08-19T22:58:48-05:00,CPL/SRC/allocations/00260,WCP
AL000108,EV000262,CPL-R00145,9045,USD,2023-04-21T00:41:00-05:00,CPL/SRC/allocations/00263,WCP
AL000109,EV000262,CPL-R00146,5994,USD,2023-04-19T23:57:53-05:00,CPL/SRC/allocations/00263,WCP
AL000110,EV000265,CPL-R00147,3738,USD,2023-09-04T19:23:37-05:00,CPL/SRC/allocations/00265,WCP
AL000111,EV000267,CPL-R00148,19640,USD,2023-05-04T17:32:26-05:00,CPL/SRC/allocations/00267,WCP
AL000112,EV000269,CPL-R00149,57388,USD,2023-10-26T16:54:13-05:00,CPL/SRC/allocations/00269,WCP
AL000113,EV000276,CPL-R00152,12116,USD,2023-03-30T03:45:56-05:00,CPL/SRC/allocations/00276,WCP
AL000114,EV000278,CPL-R00153,10332,USD,2022-12-14T22:37:30-06:00,CPL/SRC/allocations/00278,WCP
AL000115,EV000280,CPL-R00154,113639,USD,2023-06-23T14:15:42-05:00,CPL/SRC/allocations/00280,WCP
AL000116,EV000284,CPL-R00156,112194,USD,2023-08-22T01:58:09-05:00,CPL/SRC/allocations/00284,WCP
AL000117,EV000286,CPL-R00157,25813,USD,2023-07-13T01:45:44-05:00,CPL/SRC/allocations/00286,WCP
AL000118,EV000288,CPL-R00158,2088,USD,2023-04-14T17:41:07-05:00,CPL/SRC/allocations/00289,WCP
AL000119,EV000288,CPL-R00159,2488,USD,2023-04-13T22:22:17-05:00,CPL/SRC/allocations/00289,WCP
AL000120,EV000294,CPL-R00162,16600,USD,2023-08-25T07:46:04-05:00,CPL/SRC/allocations/00294,WCP
AL000121,EV000296,CPL-R00163,2176,USD,2022-10-10T18:57:01-05:00,CPL/SRC/allocations/00296,WCP
AL000122,EV000298,CPL-R00164,111842,USD,2022-09-21T23:42:08-05:00,CPL/SRC/allocations/00298,WCP
AL000123,EV000300,CPL-R00165,5357,USD,2023-01-09T02:09:32-06:00,CPL/SRC/allocations/00300,WCP
AL000124,EV000302,CPL-R00166,14228,USD,2023-02-17T23:26:33-06:00,CPL/SRC/allocations/00302,WCP
AL000125,EV000306,CPL-R00168,7786,USD,2023-02-20T10:52:55-06:00,CPL/SRC/allocations/00306,WCP
AL000126,EV000308,CPL-R00169,7995,USD,2023-05-12T05:17:32-05:00,CPL/SRC/allocations/00308,WCP
AL000127,EV000311,CPL-R00171,99576,USD,2022-08-01T14:47:59-05:00,CPL/SRC/allocations/00311,WCP
AL000128,EV000313,CPL-R00172,63350,USD,2023-03-14T13:48:47-05:00,CPL/SRC/allocations/00313,WCP
AL000129,EV000315,CPL-R00173,33002,USD,2022-12-28T22:42:40-06:00,CPL/SRC/allocations/00315,WCP
AL000130,EV000317,CPL-R00174,3908,USD,2022-10-16T00:37:59-05:00,CPL/SRC/allocations/00317,WCP
AL000131,EV000319,CPL-R00175,20739,USD,2023-10-02T12:57:11-05:00,CPL/SRC/allocations/00319,WCP
AL000132,EV000321,CPL-R00176,2812,USD,2022-10-30T00:37:01-05:00,CPL/SRC/allocations/00321,WCP
AL000133,EV000323,CPL-R00177,10372,USD,2022-10-06T15:51:54-05:00,CPL/SRC/allocations/00323,WCP
AL000134,EV000325,CPL-R00178,9695,USD,2022-12-01T17:08:57-06:00,CPL/SRC/allocations/00325,WCP
AL000135,EV000330,CPL-R00181,29531,USD,2023-07-17T12:36:57-05:00,CPL/SRC/allocations/00330,WCP
AL000136,EV000334,CPL-R00183,23432,USD,2023-05-03T13:47:50-05:00,CPL/SRC/allocations/00335,WCP
AL000137,EV000334,CPL-R00184,11737,USD,2023-05-03T12:39:40-05:00,CPL/SRC/allocations/00335,WCP
AL000138,EV000339,CPL-R00187,20531,USD,2022-10-31T10:30:26-05:00,CPL/SRC/allocations/00339,WCP
AL000139,EV000341,CPL-R00188,7085,USD,2023-08-14T23:52:14-05:00,CPL/SRC/allocations/00341,WCP
AL000140,EV000345,CPL-R00190,13431,USD,2022-12-05T11:33:46-06:00,CPL/SRC/allocations/00345,WCP
AL000141,EV000349,CPL-R00192,6087,USD,2022-11-23T14:19:11-06:00,CPL/SRC/allocations/00349,WCP
AL000142,EV000351,CPL-R00193,5900,USD,2023-10-05T09:45:15-05:00,CPL/SRC/allocations/00351,WCP
AL000143,EV000354,CPL-R00195,22044,USD,2022-10-14T21:55:07-05:00,CPL/SRC/allocations/00354,WCP
AL000144,EV000356,CPL-R00196,105629,USD,2022-10-15T02:56:18-05:00,CPL/SRC/allocations/00356,WCP
AL000145,EV000360,CPL-R00198,16302,USD,2023-05-29T22:04:43-05:00,CPL/SRC/allocations/00360,WCP
AL000146,EV000362,CPL-R00199,13257,USD,2022-12-15T19:36:11-06:00,CPL/SRC/allocations/00362,WCP
AL000147,EV000364,CPL-R00200,8680,USD,2023-05-19T12:31:44-05:00,CPL/SRC/allocations/00365,WCP
AL000148,EV000364,CPL-R00201,6566,USD,2023-05-18T22:08:40-05:00,CPL/SRC/allocations/00365,WCP
AL000149,EV000367,CPL-R00202,27474,USD,2022-10-18T13:55:08-05:00,CPL/SRC/allocations/00367,WCP
AL000150,EV000370,CPL-R00204,9443,USD,2023-09-16T02:09:56-05:00,CPL/SRC/allocations/00370,WCP
AL000151,EV000374,CPL-R00207,7407,USD,2023-08-17T03:24:23-05:00,CPL/SRC/allocations/00374,WCP
AL000152,EV000376,CPL-R00208,9475,USD,2023-04-16T08:41:36-05:00,CPL/SRC/allocations/00376,WCP
AL000153,EV000378,CPL-R00209,12812,USD,2023-02-20T12:06:50-06:00,CPL/SRC/allocations/00378,WCP
AL000154,EV000383,CPL-R00212,3731,USD,2023-08-12T09:06:02-05:00,CPL/SRC/allocations/00383,WCP
AL000155,EV000385,CPL-R00213,13313,USD,2023-04-02T06:27:34-05:00,CPL/SRC/allocations/00385,WCP
AL000156,EV000387,CPL-R00214,33087,USD,2022-08-03T03:27:31-05:00,CPL/SRC/allocations/00387,WCP
AL000157,EV000389,CPL-R00215,3455,USD,2023-06-29T21:58:15-05:00,CPL/SRC/allocations/00389,WCP
AL000158,EV000391,CPL-R00216,5379,USD,2023-10-17T02:32:14-05:00,CPL/SRC/allocations/00391,WCP
AL000159,EV000393,CPL-R00217,4928,USD,2023-05-03T18:01:30-05:00,CPL/SRC/allocations/00393,WCP
AL000160,EV000395,CPL-R00218,19589,USD,2022-12-31T03:23:36-06:00,CPL/SRC/allocations/00396,WCP
AL000161,EV000395,CPL-R00219,12383,USD,2022-12-30T16:33:51-06:00,CPL/SRC/allocations/00396,WCP
AL000162,EV000398,CPL-R00220,10809,USD,2023-08-21T17:44:35-05:00,CPL/SRC/allocations/00398,WCP
AL000163,EV000402,CPL-R00222,10727,USD,2023-04-13T22:08:52-05:00,CPL/SRC/allocations/00402,WCP
AL000164,EV000404,CPL-R00223,17246,USD,2023-05-03T21:54:25-05:00,CPL/SRC/allocations/00404,WCP
AL000165,EV000406,CPL-R00224,4287,USD,2023-04-20T05:49:01-05:00,CPL/SRC/allocations/00406,WCP
AL000166,EV000408,CPL-R00225,6076,USD,2022-09-20T19:07:58-05:00,CPL/SRC/allocations/00408,WCP
AL000167,EV000410,CPL-R00226,3820,USD,2022-09-10T21:38:34-05:00,CPL/SRC/allocations/00410,WCP
AL000168,EV000412,CPL-R00227,2715,USD,2023-03-20T15:08:20-05:00,CPL/SRC/allocations/00412,WCP
AL000169,EV000416,CPL-R00229,11773,USD,2023-05-10T11:03:55-05:00,CPL/SRC/allocations/00416,WCP
AL000170,EV000418,CPL-R00230,9615,USD,2023-10-10T16:13:12-05:00,CPL/SRC/allocations/00418,WCP
AL000171,EV000420,CPL-R00231,1708,USD,2023-02-07T12:45:02-06:00,CPL/SRC/allocations/00420,WCP
AL000172,EV000422,CPL-R00232,11757,USD,2022-08-05T03:49:02-05:00,CPL/SRC/allocations/00422,WCP
AL000173,EV000424,CPL-R00233,5093,USD,2022-09-09T19:35:31-05:00,CPL/SRC/allocations/00424,WCP
AL000174,EV000426,CPL-R00234,12341,USD,2022-10-24T14:56:47-05:00,CPL/SRC/allocations/00426,WCP
AL000175,EV000428,CPL-R00235,24524,USD,2023-03-13T20:28:14-05:00,CPL/SRC/allocations/00428,WCP
AL000176,EV000430,CPL-R00236,7189,USD,2023-08-31T16:52:29-05:00,CPL/SRC/allocations/00430,WCP
AL000177,EV000432,CPL-R00237,15169,USD,2023-03-21T16:58:38-05:00,CPL/SRC/allocations/00432,WCP
AL000178,EV000434,CPL-R00238,5979,USD,2023-09-08T16:09:58-05:00,CPL/SRC/allocations/00435,WCP
AL000179,EV000434,CPL-R00239,4016,USD,2023-07-08T19:44:05-05:00,CPL/SRC/allocations/00435,WCP
AL000180,EV000437,CPL-R00240,4310,USD,2023-08-17T03:30:59-05:00,CPL/SRC/allocations/00437,WCP
AL000181,EV000439,CPL-R00241,9836,USD,2023-07-05T04:32:38-05:00,CPL/SRC/allocations/00439,WCP
AL000182,EV000443,CPL-R00243,12700,USD,2022-10-14T22:44:07-05:00,CPL/SRC/allocations/00443,WCP
AL000183,EV000445,CPL-R00244,21192,USD,2023-05-22T21:24:05-05:00,CPL/SRC/allocations/00445,WCP
AL000184,EV000447,CPL-R00245,251936,USD,2023-07-26T05:05:29-05:00,CPL/SRC/allocations/00447,WCP
AL000185,EV000449,CPL-R00246,9202,USD,2023-05-08T18:21:38-05:00,CPL/SRC/allocations/00449,WCP
AL000186,EV000451,CPL-R00247,12144,USD,2023-05-21T15:05:13-05:00,CPL/SRC/allocations/00451,WCP
AL000187,EV000453,CPL-R00248,10445,USD,2022-09-08T17:26:44-05:00,CPL/SRC/allocations/00453,WCP
AL000188,EV000455,CPL-R00249,17430,USD,2022-12-15T15:56:58-06:00,CPL/SRC/allocations/00455,WCP
AL000189,EV000458,CPL-R00251,11293,USD,2023-04-27T08:58:00-05:00,CPL/SRC/allocations/00458,WCP
AL000190,EV000462,CPL-R00253,58759,USD,2023-03-28T12:43:45-05:00,CPL/SRC/allocations/00462,WCP
AL000191,EV000464,CPL-R00254,13032,USD,2023-02-27T20:20:34-06:00,CPL/SRC/allocations/00464,WCP
AL000192,EV000470,CPL-R00258,35956,USD,2022-07-26T23:07:51-05:00,CPL/SRC/allocations/00470,WCP
AL000193,EV000472,CPL-R00259,15213,USD,2023-08-01T00:16:52-05:00,CPL/SRC/allocations/00472,WCP
AL000194,EV000474,CPL-R00260,55798,USD,2022-11-22T09:24:12-06:00,CPL/SRC/allocations/00474,WCP
AL000195,EV000477,CPL-R00262,4413,USD,2023-07-13T13:13:29-05:00,CPL/SRC/allocations/00477,WCP
AL000196,EV000479,CPL-R00263,13037,USD,2023-03-21T17:47:17-05:00,CPL/SRC/allocations/00479,WCP
AL000197,EV000484,CPL-R00266,5548,USD,2023-11-13T14:53:53-06:00,CPL/SRC/allocations/00484,WCP
AL000198,EV000486,CPL-R00267,39014,USD,2022-10-20T00:26:31-05:00,CPL/SRC/allocations/00486,WCP
AL000199,EV000488,CPL-R00268,6607,USD,2023-01-24T17:29:01-06:00,CPL/SRC/allocations/00488,WCP
AL000200,EV000490,CPL-R00269,29306,USD,2022-09-12T00:26:09-05:00,CPL/SRC/allocations/00490,WCP
AL000201,EV000492,CPL-R00270,33639,USD,2023-09-11T23:19:00-05:00,CPL/SRC/allocations/00493,WCP
AL000202,EV000492,CPL-R00271,27464,USD,2023-09-11T15:55:44-05:00,CPL/SRC/allocations/00493,WCP
AL000203,EV000495,CPL-R00272,21058,USD,2023-10-02T16:09:35-05:00,CPL/SRC/allocations/00495,WCP
AL000204,EV000497,CPL-R00273,8912,USD,2023-05-12T20:13:47-05:00,CPL/SRC/allocations/00497,WCP
AL000205,EV000500,CPL-R00275,13032,USD,2023-04-05T18:46:22-05:00,CPL/SRC/allocations/00500,WCP
AL000206,EV000502,CPL-R00276,5795,USD,2023-05-11T11:41:21-05:00,CPL/SRC/allocations/00502,WCP
AL000207,EV000508,CPL-R00279,5538,USD,2023-10-14T22:20:21-05:00,CPL/SRC/allocations/00508,WCP
AL000208,EV000510,CPL-R00280,5988,USD,2023-05-18T12:20:09-05:00,CPL/SRC/allocations/00510,WCP
AL000209,EV000512,CPL-R00281,33259,USD,2023-01-28T11:25:47-06:00,CPL/SRC/allocations/00512,WCP
AL000210,EV000514,CPL-R00282,10915,USD,2022-09-26T12:14:46-05:00,CPL/SRC/allocations/00514,WCP
AL000211,EV000516,CPL-R00283,446230,USD,2023-01-30T12:22:43-06:00,CPL/SRC/allocations/00516,WCP
AL000212,EV000518,CPL-R00284,12773,USD,2023-09-13T20:59:40-05:00,CPL/SRC/allocations/00518,WCP
AL000213,EV000520,CPL-R00285,4981,USD,2022-07-11T18:16:30-05:00,CPL/SRC/allocations/00520,WCP
AL000214,EV000522,CPL-R00286,17270,USD,2023-04-29T16:05:49-05:00,CPL/SRC/allocations/00522,WCP
AL000215,EV000524,CPL-R00287,8190,USD,2023-07-24T17:00:36-05:00,CPL/SRC/allocations/00524,WCP
AL000216,EV000526,CPL-R00288,5366,USD,2023-08-01T01:42:55-05:00,CPL/SRC/allocations/00526,WCP
AL000217,EV000528,CPL-R00289,8119,USD,2022-09-01T13:32:45-05:00,CPL/SRC/allocations/00528,WCP
AL000218,EV000531,CPL-R00291,11681,USD,2023-03-23T15:15:37-05:00,CPL/SRC/allocations/00531,WCP
AL000219,EV000533,CPL-R00292,5163,USD,2023-04-25T15:46:25-05:00,CPL/SRC/allocations/00533,WCP
AL000220,EV000535,CPL-R00293,49075,USD,2023-03-21T19:01:01-05:00,CPL/SRC/allocations/00535,WCP
AL000221,EV000537,CPL-R00294,31041,USD,2023-04-04T19:54:54-05:00,CPL/SRC/allocations/00537,WCP
AL000222,EV000539,CPL-R00295,7291,USD,2023-07-08T13:17:40-05:00,CPL/SRC/allocations/00539,WCP
AL000223,EV000541,CPL-R00296,27249,USD,2023-06-22T01:25:00-05:00,CPL/SRC/allocations/00542,WCP
AL000224,EV000541,CPL-R00297,22781,USD,2023-06-12T12:41:01-05:00,CPL/SRC/allocations/00542,WCP
AL000225,EV000546,CPL-R00299,19710,USD,2022-10-16T13:49:56-05:00,CPL/SRC/allocations/00546,WCP
AL000226,EV000549,CPL-R00301,12282,USD,2022-12-09T14:04:43-06:00,CPL/SRC/allocations/00549,WCP
AL000227,EV000551,CPL-R00302,6764,USD,2023-01-18T15:10:42-06:00,CPL/SRC/allocations/00551,WCP
AL000228,EV000553,CPL-R00303,36607,USD,2023-08-07T11:02:34-05:00,CPL/SRC/allocations/00554,WCP
AL000229,EV000553,CPL-R00304,44375,USD,2023-08-07T15:29:35-05:00,CPL/SRC/allocations/00554,WCP
AL000230,EV000556,CPL-R00305,11380,USD,2022-09-22T15:52:33-05:00,CPL/SRC/allocations/00556,WCP
AL000231,EV000561,CPL-R00308,7410,USD,2023-04-12T21:15:44-05:00,CPL/SRC/allocations/00561,WCP
