record_id,true_lineage_id
CPL-R00133,L00113
CPL-R00134,L00114
CPL-R00135,L00115
CPL-R00136,L00116
CPL-R00137,L00117
CPL-R00138,L00118
CPL-R00139,L00119
CPL-R00140,L00120
CPL-R00141,L00121
CPL-R00142,L00121
CPL-R00143,L00122
CPL-R00144,L00123
CPL-R00146,L00124
CPL-R00145,L00124
CPL-R00147,L00125
CPL-R00148,L00126
CPL-R00149,L00127
CPL-R00150,L00128
CPL-R00151,L00128
CPL-R00152,L00129
CPL-R00153,L00130
CPL-R00154,L00131
CPL-R00155,L00132
CPL-R00156,L00133
CPL-R00157,L00134
CPL-R00159,L00135
CPL-R00158,L00135
CPL-R00160,L00136
CPL-R00161,L00137
CPL-R00162,L00137
CPL-R00163,L00138
CPL-R00164,L00139
CPL-R00165,L00140
CPL-R00166,L00141
CPL-R00167,L00142
CPL-R00168,L00142
CPL-R00169,L00143
CPL-R00170,L00144
CPL-R00171,L00144
CPL-R00172,L00145
CPL-R00173,L00146
CPL-R00174,L00147
CPL-R00175,L00148
CPL-R00176,L00149
CPL-R00177,L00150
CPL-R00178,L00151
CPL-R00179,L00152
CPL-R00180,L00152
CPL-R00181,L00153
CPL-R00182,L00154
CPL-R00184,L00155
CPL-R00183,L00155
CPL-R00185,L00156
CPL-R00186,L00156
CPL-R00187,L00157
CPL-R00188,L00158
CPL-R00189,L00159
CPL-R00190,L00160
CPL-R00191,L00161
CPL-R00192,L00162
CPL-R00193,L00163
CPL-R00194,L00164
CPL-R00195,L00165
CPL-R00196,L00166
CPL-R00197,L00167
CPL-R00198,L00167
CPL-R00199,L00168
CPL-R00201,L00169
CPL-R00200,L00169
CPL-R00202,L00170
CPL-R00203,L00171
CPL-R00204,L00171
CPL-R00205,L00172
CPL-R00206,L00173
CPL-R00207,L00174
CPL-R00208,L00175
CPL-R00209,L00176
CPL-R00210,L00177
CPL-R00211,L00177
CPL-R00212,L00178
CPL-R00213,L00179
CPL-R00214,L00180
CPL-R00215,L00181
CPL-R00216,L00182
CPL-R00217,L00183
CPL-R00219,L00184
CPL-R00218,L00184
CPL-R00220,L00185
CPL-R00221,L00186
CPL-R00222,L00187
CPL-R00223,L00188
CPL-R00224,L00189
CPL-R00225,L00190
CPL-R00226,L00191
CPL-R00227,L00192
CPL-R00228,L00193
CPL-R00229,L00194
CPL-R00230,L00195
CPL-R00231,L00196
CPL-R00232,L00197
CPL-R00233,L00198
CPL-R00234,L00199
CPL-R00235,L00200
CPL-R00236,L00201
CPL-R00237,L00202
CPL-R00239,L00203
CPL-R00238,L00203
CPL-R00240,L00204
CPL-R00241,L00205
CPL-R00242,L00206
CPL-R00243,L00206
CPL-R00244,L00207
CPL-R00245,L00208
CPL-R00246,L00209
CPL-R00247,L00210
CPL-R00248,L00211
CPL-R00249,L00212
CPL-R00250,L00213
CPL-R00251,L00214
CPL-R00252,L00215
CPL-R00253,L00215
CPL-R00254,L00216
CPL-R00255,L00217
CPL-R00256,L00218
CPL-R00257,L00218
CPL-R00258,L00219
CPL-R00259,L00220
CPL-R00260,L00221
CPL-R00261,L00222
CPL-R00262,L00223
CPL-R00263,L00224
CPL-R00264,L00225
CPL-R00265,L00226
CPL-R00266,L00226
CPL-R00267,L00227
CPL-R00268,L00228
CPL-R00269,L00229
CPL-R00271,L00230
CPL-R00270,L00230
CPL-R00272,L00231
CPL-R00273,L00232
CPL-R00274,L00233
CPL-R00275,L00234
CPL-R00276,L00235
CPL-R00277,L00236
CPL-R00278,L00237
CPL-R00279,L00237
CPL-R00280,L00238
CPL-R00281,L00239
CPL-R00282,L00240
CPL-R00283,L00241
CPL-R00284,L00242
CPL-R00285,L00243
CPL-R00286,L00244
CPL-R00287,L00245
CPL-R00288,L00246
CPL-R00289,L00247
CPL-R00290,L00248
CPL-R00291,L00249
CPL-R00292,L00250
CPL-R00293,L00251
CPL-R00294,L00252
CPL-R00295,L00253
CPL-R00297,L00254
CPL-R00296,L00254
CPL-R00298,L00255
CPL-R00299,L00256
CPL-R00300,L00257
CPL-R00301,L00258
CPL-R00302,L00259
CPL-R00304,L00260
CPL-R00303,L00260
CPL-R00305,L00261
CPL-R00306,L00262
CPL-R00307,L00263
CPL-R00308,L00264
CPL-R00309,L00265
CPL-R00310,L00266
CPL-R00311,L00267
CPL-R00312,L00268
CPL-R00313,L00269
CPL-R00315,L00270
CPL-R00314,L00270
CPL-R00316,L00271
CPL-R00317,L00272
CPL-R00318,L00273
CPL-R00319,L00274
CPL-R00320,L00275
CPL-R00321,L00276
CPL-R00322,L00277
CPL-R00323,L00278
CPL-R00324,L00279
CPL-R00325,L00280
CPL-R00326,L00281
CPL-R00327,L00282
CPL-R00328,L00283
CPL-R00329,L00284
CPL-R00330,L00285
CPL-R00331,L00286
CPL-R00332,L00286
CPL-R00333,L00287
CPL-R00334,L00287
CPL-R00335,L00288
CPL-R00336,L00289
CPL-R00337,L00290
CPL-R00338,L00291
CPL-R00339,L00292
CPL-R00340,L00293
CPL-R00341,L00293
CPL-R00342,L00294
CPL-R00343,L00294
CPL-R00344,L00295
CPL-R00346,L00296
CPL-R00345,L00296
CPL-R00347,L00297
CPL-R00348,L00298
CPL-R00349,L00299
CPL-R00350,L00300
CPL-R00351,L00300
CPL-R00352,L00301
CPL-R00353,L00302
CPL-R00354,L00303
CPL-R00355,L00303
CPL-R00356,L00304
CPL-R00357,L00305
CPL-R00358,L00306
CPL-R00359,L00307
CPL-R00360,L00308
CPL-R00361,L00309
CPL-R00362,L00310
CPL-R00363,L00311
CPL-R00364,L00312
CPL-R00365,L00313
CPL-R00366,L00314
CPL-R00367,L00315
CPL-R00368,L00316
CPL-R00369,L00317
CPL-R00370,L00318
CPL-R00371,L00319
CPL-R00372,L00320
CPL-R00373,L00321
CPL-R00374,L00322
CPL-R00375,L00323
CPL-R00376,L00324
CPL-R00377,L00324
CPL-R00379,L00325
CPL-R00378,L00325
CPL-R00380,L00326
CPL-R00381,L00327
CPL-R00382,L00328
CPL-R00383,L00329
CPL-R00384,L00330
CPL-R00387,L00331
CPL-R00385,L00331
CPL-R00386,L00331
CPL-R00388,L00332
CPL-R00389,L00333
CPL-R00390,L00334
CPL-R00391,L00335
CPL-R00392,L00336
CPL-R00393,L00337
CPL-R00394,L00338
CPL-R00395,L00339
CPL-R00396,L00340
CPL-R00397,L00341
CPL-R00398,L00342
CPL-R00399,L00343
CPL-R00401,L00344
CPL-R00400,L00344
CPL-R00402,L00345
CPL-R00403,L00346
CPL-R00405,L00347
CPL-R00404,L00347
CPL-R00406,L00348
CPL-R00407,L00349
CPL-R00408,L00350
CPL-R00409,L00351
CPL-R00410,L00352
CPL-R00412,L00353
CPL-R00411,L00353
CPL-R00413,L00354
CPL-R00414,L00355
CPL-R00415,L00356
CPL-R00416,L00357
CPL-R00417,L00358
CPL-R00418,L00359
CPL-R00421,L00360
CPL-R00419,L00360
CPL-R00420,L00360
CPL-R00422,L00361
CPL-R00423,L00362
CPL-R00424,L00363
CPL-R00425,L00364
CPL-R00426,L00365
CPL-R00427,L00366
CPL-R00428,L00367
CPL-R00429,L00368
CPL-R00430,L00369
CPL-R00431,L00370
CPL-R00434,L00371
CPL-R00432,L00371
CPL-R00433,L00371
CPL-R00435,L00372
CPL-R00436,L00373
CPL-R00437,L00374
CPL-R00438,L00375
CPL-R00440,L00377
CPL-R00441,L00377
CPL-R00442,L00378
CPL-R00443,L00379
CPL-R00444,L00380
CPL-R00445,L00381
CPL-R00446,L00382
CPL-R00447,L00383
CPL-R00448,L00383
CPL-R00449,L00384
CPL-R00450,L00385
CPL-R00451,L00386
CPL-R00453,L00387
CPL-R00452,L00387
CPL-R00454,L00388
CPL-R00455,L00389
CPL-R00456,L00390
CPL-R00457,L00391
CPL-R00458,L00392
CPL-R00461,L00393
CPL-R00459,L00393
CPL-R00460,L00393
CPL-R00462,L00394
CPL-R00463,L00395
CPL-R00464,L00395
CPL-R00465,L00396
CPL-R00466,L00397
CPL-R00467,L00398
CPL-R00468,L00399
CPL-R00470,L00400
CPL-R00469,L00400
CPL-R00471,L00401
CPL-R00472,L00402
CPL-R00473,L00403
CPL-R00474,L00404
CPL-R00475,L00405
CPL-R00477,L00406
CPL-R00476,L00406
CPL-R00478,L00407
CPL-R00479,L00408
CPL-R00480,L00409
CPL-R00481,L00410
CPL-R00482,L00411
CPL-R00483,L00411
CPL-R00484,L00412
CPL-R00485,L00412
CPL-R00486,L00413
CPL-R00487,L00413
CPL-R00488,L00414
CPL-R00489,L00414
CPL-R00490,L00415
CPL-R00491,L00416
CPL-R00492,L00417
CPL-R00493,L00418
CPL-R00494,L00418
CPL-R00495,L00419
CPL-R00496,L00420
CPL-R00497,L00421
CPL-R00498,L00422
CPL-R00499,L00423
CPL-R00500,L00424
CPL-R00501,L00425
CPL-R00502,L00426
CPL-R00503,L00426
CPL-R00504,L00427
CPL-R00505,L00428
CPL-R00506,L00429
CPL-R00507,L00430
CPL-R00508,L00430
CPL-R00509,L00431
CPL-R00510,L00432
CPL-R00511,L00433
CPL-R00512,L00434
CPL-R00514,L00435
CPL-R00513,L00435
CPL-R00515,L00436
CPL-R00516,L00437
CPL-R00517,L00438
CPL-R00518,L00439
CPL-R00519,L00440
CPL-R00520,L00441
CPL-R00521,L00442
CPL-R00522,L00443
CPL-R00523,L00444
CPL-R00524,L00445
CPL-R00526,L00446
CPL-R00525,L00446
CPL-R00527,L00447
CPL-R00528,L00448
CPL-R00529,L00448
CPL-R00530,L00449
CPL-R00531,L00450
CPL-R00532,L00451
CPL-R00533,L00452
CPL-R00534,L00453
CPL-R00536,L00454
CPL-R00535,L00454
CPL-R00537,L00455
CPL-R00538,L00455
CPL-R00539,L00456
CPL-R00540,L00457
CPL-R00541,L00458
CPL-R00542,L00459
CPL-R00543,L00460
CPL-R00544,L00461
CPL-R00545,L00462
CPL-R00546,L00463
CPL-R00547,L00464
CPL-R00548,L00464
CPL-R00549,L00465
CPL-R00550,L00466
CPL-R00551,L00467
CPL-R00552,L00467
CPL-R00553,L00468
CPL-R00554,L00469
CPL-R00555,L00469
CPL-R00558,L00470
CPL-R00556,L00470
CPL-R00557,L00470
CPL-R00559,L00471
CPL-R00560,L00472
CPL-R00561,L00473
CPL-R00562,L00474
CPL-R00563,L00475
CPL-R00564,L00476
CPL-R00565,L00477
CPL-R00566,L00478
CPL-R00567,L00479
CPL-R00568,L00480
TRI-R00569,L00481
TRI-R00570,L00482
TRI-R00573,L00484
TRI-R00572,L00484
TRI-R00574,L00485
TRI-R00575,L00486
TRI-R00576,L00487
TRI-R00577,L00488
TRI-R00578,L00489
TRI-R00579,L00490
TRI-R00580,L00491
TRI-R00581,L00492
TRI-R00582,L00493
TRI-R00583,L00494
TRI-R00584,L00495
TRI-R00585,L00496
TRI-R00586,L00497
TRI-R00587,L00498
TRI-R00588,L00499
TRI-R00589,L00500
TRI-R00590,L00501
TRI-R00591,L00502
TRI-R00592,L00503
TRI-R00593,L00504
TRI-R00594,L00504
TRI-R00595,L00505
TRI-R00596,L00505
TRI-R00597,L00506
TRI-R00598,L00507
TRI-R00599,L00507
TRI-R00600,L00508
TRI-R00601,L00509
TRI-R00602,L00510
TRI-R00603,L00510
TRI-R00604,L00511
TRI-R00605,L00512
TRI-R00606,L00513
TRI-R00607,L00514
TRI-R00608,L00515
TRI-R00609,L00516
TRI-R00610,L00517
TRI-R00611,L00518
TRI-R00613,L00519
TRI-R00612,L00519
TRI-R00614,L00520
TRI-R00615,L00521
TRI-R00616,L00522
TRI-R00617,L00523
TRI-R00618,L00523
TRI-R00619,L00524
TRI-R00620,L00525
TRI-R00621,L00525
TRI-R00622,L00526
TRI-R00623,L00527
TRI-R00625,L00528
TRI-R00624,L00528
TRI-R00627,L00529
TRI-R00626,L00529
TRI-R00628,L00530
TRI-R00629,L00531
TRI-R00630,L00532
TRI-R00631,L00533
TRI-R00633,L00534
TRI-R00632,L00534
TRI-R00634,L00535
TRI-R00635,L00535
TRI-R00636,L00536
TRI-R00637,L00537
TRI-R00638,L00538
TRI-R00639,L00539
TRI-R00640,L00539
TRI-R00641,L00540
TRI-R00642,L00541
TRI-R00643,L00542
TRI-R00644,L00543
TRI-R00645,L00544
TRI-R00646,L00545
TRI-R00647,L00546
TRI-R00648,L00547
TRI-R00649,L00548
TRI-R00650,L00549
TRI-R00651,L00549
TRI-R00652,L00550
TRI-R00653,L00551
TRI-R00654,L00552
TRI-R00655,L00553
TRI-R00656,L00554
TRI-R00657,L00555
TRI-R00658,L00556
TRI-R00659,L00557
TRI-R00660,L00557
TRI-R00661,L00558
TRI-R00663,L00559
TRI-R00662,L00559
TRI-R00664,L00560
TRI-R00665,L00561
TRI-R00666,L00562
TRI-R00667,L00563
TRI-R00668,L00564
TRI-R00669,L00565
TRI-R00670,L00566
TRI-R00671,L00567
TRI-R00672,L00567
TRI-R00674,L00568
TRI-R00673,L00568
TRI-R00675,L00569
TRI-R00676,L00570
TRI-R00677,L00571
TRI-R00678,L00572
TRI-R00679,L00573
TRI-R00680,L00574
TRI-R00681,L00574
TRI-R00682,L00575
TRI-R00683,L00576
TRI-R00684,L00577
TRI-R00685,L00578
TRI-R00686,L00579
TRI-R00687,L00580
TRI-R00688,L00581
TRI-R00689,L00582
TRI-R00690,L00583
TRI-R00691,L00584
TRI-R00692,L00585
TRI-R00693,L00586
TRI-R00694,L00587
TRI-R00695,L00588
TRI-R00696,L00589
TRI-R00697,L00590
TRI-R00698,L00591
TRI-R00699,L00592
TRI-R00700,L00593
TRI-R00701,L00594
TRI-R00702,L00595
TRI-R00703,L00596
TRI-R00704,L00597
TRI-R00705,L00598
TRI-R00706,L00599
TRI-R00707,L00600
TRI-R00708,L00601
TRI-R00709,L00602
TRI-R00710,L00603
TRI-R00711,L00604
TRI-R00712,L00605
TRI-R00713,L00606
TRI-R00714,L00607
TRI-R00715,L00608
TRI-R00716,L00608
TRI-R00717,L00609
TRI-R00719,L00610
TRI-R00718,L00610
TRI-R00720,L00611
TRI-R00721,L00612
TRI-R00722,L00613
TRI-R00723,L00614
TRI-R00724,L00615
TRI-R00725,L00616
TRI-R00726,L00617
TRI-R00727,L00618
TRI-R00728,L00618
TRI-R00729,L00619
TRI-R00730,L00620
TRI-R00731,L00621
TRI-R00732,L00622
TRI-R00733,L00623
TRI-R00734,L00624
TRI-R00735,L00625
TRI-R00736,L00626
TRI-R00737,L00627
TRI-R00738,L00628
TRI-R00739,L00629
TRI-R00740,L00630
TRI-R00741,L00631
TRI-R00742,L00632
TRI-R00743,L00633
TRI-R00744,L00634
TRI-R00745,L00634
TRI-R00746,L00635
TRI-R00747,L00635
TRI-R00748,L00636
TRI-R00749,L00637
TRI-R00750,L00638
TRI-R00751,L00638
TRI-R00752,L00639
TRI-R00753,L00640
TRI-R00754,L00641
TRI-R00755,L00642
TRI-R00756,L00642
TRI-R00757,L00643
TRI-R00758,L00644
TRI-R00759,L00645
TRI-R00760,L00646
TRI-R00761,L00647
TRI-R00762,L00648
TRI-R00763,L00649
TRI-R00764,L00650
TRI-R00765,L00651
TRI-R00766,L00652
TRI-R00767,L00653
TRI-R00768,L00654
TRI-R00769,L00655
TRI-R00770,L00656
TRI-R00771,L00656
TRI-R00772,L00657
TRI-R00773,L00658
TRI-R00774,L00659
TRI-R00775,L00660
TRI-R00776,L00661
TRI-R00777,L00662
TRI-R00778,L00663
TRI-R00779,L00664
TRI-R00780,L00665
TRI-R00781,L00666
TRI-R00782,L00667
TRI-R00783,L00668
TRI-R00784,L00669
TRI-R00785,L00670
TRI-R00786,L00671
TRI-R00787,L00672
TRI-R00788,L00673
TRI-R00789,L00674
TRI-R00790,L00675
TRI-R00791,L00676
TRI-R00792,L00677
TRI-R00794,L00678
TRI-R00793,L00678
TRI-R00795,L00679
TRI-R00796,L00680
TRI-R00797,L00681
TRI-R00798,L00682
TRI-R00799,L00683
TRI-R00800,L00684
TRI-R00801,L00685
TRI-R00802,L00686
TRI-R00803,L00687
TRI-R00804,L00688
TRI-R00805,L00689
TRI-R00807,L00690
TRI-R00806,L00690
TRI-R00809,L00691
TRI-R00808,L00691
TRI-R00810,L00692
TRI-R00811,L00693
TRI-R00812,L00694
TRI-R00813,L00695
TRI-R00814,L00696
TRI-R00815,L00697
TRI-R00816,L00698
TRI-R00817,L00698
TRI-R00818,L00699
TRI-R00819,L00700
TRI-R00820,L00701
TRI-R00821,L00702
TRI-R00822,L00703
TRI-R00823,L00704
TRI-R00824,L00705
TRI-R00825,L00706
TRI-R00826,L00707
TRI-R00827,L00708
TRI-R00828,L00708
TRI-R00829,L00709
TRI-R00830,L00710
TRI-R00831,L00711
TRI-R00832,L00711
TRI-R00833,L00712
TRI-R00834,L00712
TRI-R00835,L00713
TRI-R00836,L00714
TRI-R00837,L00715
TRI-R00838,L00716
TRI-R00839,L00717
TRI-R00841,L00718
TRI-R00840,L00718
TRI-R00842,L00719
TRI-R00843,L00720
TRI-R00844,L00721
TRI-R00845,L00722
TRI-R00846,L00723
TRI-R00847,L00724
TRI-R00848,L00725
TRI-R00849,L00726
TRI-R00850,L00726
TRI-R00853,L00727
TRI-R00851,L00727
TRI-R00852,L00727
TRI-R00854,L00728
TRI-R00856,L00729
TRI-R00855,L00729
TRI-R00857,L00730
TRI-R00858,L00731
TRI-R00859,L00732
TRI-R00860,L00733
TRI-R00861,L00734
TRI-R00862,L00735
TRI-R00863,L00736
TRI-R00864,L00737
TRI-R00865,L00738
TRI-R00866,L00739
TRI-R00867,L00740
TRI-R00868,L00741
TRI-R00869,L00741
TRI-R00870,L00742
TRI-R00872,L00743
TRI-R00871,L00743
TRI-R00873,L00744
TRI-R00874,L00745
TRI-R00875,L00746
TRI-R00876,L00747
TRI-R00877,L00748
TRI-R00878,L00749
TRI-R00879,L00750
TRI-R00880,L00751
TRI-R00881,L00752
TRI-R00882,L00753
TRI-R00883,L00754
TRI-R00884,L00755
TRI-R00885,L00756
TRI-R00886,L00757
TRI-R00887,L00758
TRI-R00888,L00759
TRI-R00889,L00760
TRI-R00890,L00761
TRI-R00891,L00762
TRI-R00892,L00763
TRI-R00893,L00764
TRI-R00894,L00765
TRI-R00895,L00766
TRI-R00896,L00767
TRI-R00897,L00768
TRI-R00898,L00769
TRI-R00899,L00770
TRI-R00900,L00771
TRI-R00901,L00772
TRI-R00902,L00773
TRI-R00903,L00774
TRI-R00904,L00775
TRI-R00905,L00776
TRI-R00907,L00777
TRI-R00906,L00777
TRI-R00908,L00778
TRI-R00909,L00779
TRI-R00910,L00780
TRI-R00911,L00780
TRI-R00912,L00781
TRI-R00913,L00782
TRI-R00914,L00783
TRI-R00915,L00784
TRI-R00916,L00785
TRI-R00917,L00785
TRI-R00918,L00786
TRI-R00919,L00787
TRI-R00920,L00788
TRI-R00921,L00789
TRI-R00922,L00790
TRI-R00925,L00791
TRI-R00923,L00791
TRI-R00924,L00791
TRI-R00926,L00792
TRI-R00927,L00793
TRI-R00928,L00794
TRI-R00929,L00795
TRI-R00930,L00796
TRI-R00931,L00797
TRI-R00932,L00798
TRI-R00933,L00799
TRI-R00934,L00800
TRI-R00935,L00801
TRI-R00936,L00802
TRI-R00937,L00803
TRI-R00938,L00804
TRI-R00939,L00805
TRI-R00940,L00806
TRI-R00942,L00808
TRI-R00943,L00809
TRI-R00944,L00810
TRI-R00945,L00811
TRI-R00946,L00812
TRI-R00947,L00813
TRI-R00948,L00814
TRI-R00949,L00815
TRI-R00950,L00816
TRI-R00951,L00817
TRI-R00952,L00818
TRI-R00953,L00819
TRI-R00954,L00820
TRI-R00955,L00821
TRI-R00956,L00822
TRI-R00957,L00823
TRI-R00958,L00824
TRI-R00959,L00824
TRI-R00960,L00825
TRI-R00961,L00826
TRI-R00962,L00827
TRI-R00963,L00828
TRI-R00964,L00829
TRI-R00965,L00830
TRI-R00966,L00831
TRI-R00967,L00832
TRI-R00968,L00833
TRI-R00969,L00834
TRI-R00970,L00834
TRI-R00971,L00835
TRI-R00972,L00836
TRI-R00973,L00837
TRI-R00974,L00837
TRI-R00976,L00838
TRI-R00975,L00838
TRI-R00978,L00839
TRI-R00977,L00839
TRI-R00979,L00840
TRI-R00980,L00841
TRI-R00981,L00842
TRI-R00982,L00843
TRI-R00983,L00844
TRI-R00984,L00845
TRI-R00985,L00846
TRI-R00986,L00847
TRI-R00987,L00848
TRI-R00988,L00849
TRI-R00989,L00850
TRI-R00990,L00851
TRI-R00991,L00852
TRI-R00992,L00853
TRI-R00993,L00854
TRI-R00994,L00855
TRI-R00995,L00856
TRI-R00996,L00857
TRI-R00997,L00858
TRI-R00998,L00858
TRI-R00999,L00859
TRI-R01000,L00860
TRI-R01001,L00861
TRI-R01002,L00862
TRI-R01004,L00863
TRI-R01003,L00863
TRI-R01006,L00864
TRI-R01005,L00864
TRI-R01007,L00865
TRI-R01008,L00866
TRI-R01009,L00867
TRI-R01010,L00868
TRI-R01011,L00869
TRI-R01013,L00870
TRI-R01012,L00870
TRI-R01014,L00871
TRI-R01015,L00872
TRI-R01016,L00873
TRI-R01017,L00874
TRI-R01020,L00875
TRI-R01018,L00875
TRI-R01019,L00875
TRI-R01021,L00876
TRI-R01023,L00877
TRI-R01022,L00877
TRI-R01024,L00878
TRI-R01025,L00879
TRI-R01026,L00880
TRI-R01027,L00881
TRI-R01028,L00882
TRI-R01029,L00883
TRI-R01030,L00884
TRI-R01031,L00885
TRI-R01032,L00886
TRI-R01033,L00887
TRI-R01034,L00888
TRI-R01035,L00889
TRI-R01036,L00890
TRI-R01037,L00891
TRI-R01038,L00892
TRI-R01039,L00893
TRI-R01040,L00894
TRI-R01041,L00895
TRI-R01042,L00896
TRI-R01043,L00897
TRI-R01044,L00898
TRI-R01045,L00899
TRI-R01046,L00900
NDX-R01047,L00901
NDX-R01048,L00902
NDX-R01049,L00903
NDX-R01050,L00904
NDX-R01051,L00905
NDX-R01052,L00906
NDX-R01053,L00907
NDX-R01054,L00908
NDX-R01055,L00909
NDX-R01056,L00910
NDX-R01057,L00911
NDX-R01058,L00912
NDX-R01059,L00913
NDX-R01060,L00913
NDX-R01061,L00914
NDX-R01062,L00915
NDX-R01063,L00916
NDX-R01064,L00917
NDX-R01065,L00918
NDX-R01066,L00919
NDX-R01067,L00920
NDX-R01068,L00921
NDX-R01069,L00922
NDX-R01070,L00922
NDX-R01071,L00923
NDX-R01072,L00923
NDX-R01073,L00924
NDX-R01074,L00925
NDX-R01075,L00926
NDX-R01076,L00927
NDX-R01077,L00928
NDX-R01078,L00929
NDX-R01079,L00930
NDX-R01081,L00931
NDX-R01080,L00931
NDX-R01082,L00932
NDX-R01083,L00933
NDX-R01084,L00934
NDX-R01085,L00935
NDX-R01086,L00936
NDX-R01087,L00937
NDX-R01088,L00938
NDX-R01089,L00939
NDX-R01090,L00940
NDX-R01091,L00941
NDX-R01094,L00943
NDX-R01095,L00943
NDX-R01096,L00944
NDX-R01097,L00945
NDX-R01099,L00947
NDX-R01100,L00948
NDX-R01101,L00949
NDX-R01102,L00949
NDX-R01103,L00950
NDX-R01104,L00951
NDX-R01105,L00951
NDX-R01106,L00952
NDX-R01107,L00953
NDX-R01108,L00953
NDX-R01109,L00954
NDX-R01110,L00955
NDX-R01111,L00956
NDX-R01112,L00957
NDX-R01113,L00958
NDX-R01114,L00958
NDX-R01115,L00959
NDX-R01116,L00960
NDX-R01117,L00961
NDX-R01118,L00961
NDX-R01119,L00962
NDX-R01120,L00963
NDX-R01121,L00964
NDX-R01122,L00964
NDX-R01123,L00965
NDX-R01124,L00966
NDX-R01125,L00967
NDX-R01126,L00968
NDX-R01127,L00969
NDX-R01128,L00970
NDX-R01129,L00971
NDX-R01130,L00972
NDX-R01131,L00973
NDX-R01132,L00974
NDX-R01133,L00975
NDX-R01134,L00976
NDX-R01135,L00977
NDX-R01136,L00978
NDX-R01137,L00979
NDX-R01138,L00980
NDX-R01139,L00981
NDX-R01140,L00982
NDX-R01141,L00983
NDX-R01142,L00984
NDX-R01143,L00985
NDX-R01144,L00986
NDX-R01145,L00987
NDX-R01146,L00988
NDX-R01147,L00989
NDX-R01148,L00990
NDX-R01149,L00990
NDX-R01150,L00991
NDX-R01151,L00992
NDX-R01152,L00993
NDX-R01153,L00994
NDX-R01154,L00995
NDX-R01155,L00995
NDX-R01157,L00996
NDX-R01156,L00996
NDX-R01158,L00997
NDX-R01159,L00998
NDX-R01160,L00999
NDX-R01161,L01000
NDX-R01163,L01001
NDX-R01162,L01001
NDX-R01164,L01002
NDX-R01165,L01003
NDX-R01166,L01004
NDX-R01167,L01005
NDX-R01168,L01006
NDX-R01169,L01007
NDX-R01170,L01008
