record_id,true_lineage_id
PG-R00435,L00383
PG-R00436,L00384
PG-R00437,L00385
PG-R00438,L00386
PG-R00439,L00387
PG-R00440,L00388
PG-R00441,L00389
PG-R00442,L00389
PG-R00443,L00390
PG-R00444,L00391
PG-R00445,L00392
PG-R00446,L00393
PG-R00447,L00394
PG-R00448,L00395
PG-R00449,L00396
PG-R00450,L00397
PG-R00451,L00398
PG-R00452,L00399
PG-R00453,L00400
PG-R00454,L00401
PG-R00455,L00402
PG-R00456,L00403
PG-R00457,L00404
PG-R00458,L00404
PG-R00459,L00405
PG-R00460,L00406
PG-R00461,L00407
PG-R00462,L00408
PG-R00463,L00409
PG-R00465,L00411
PG-R00466,L00412
PG-R00467,L00413
PG-R00468,L00414
PG-R00470,L00415
PG-R00469,L00415
PG-R00471,L00416
PG-R00472,L00417
PG-R00473,L00418
PG-R00474,L00419
PG-R00475,L00420
PG-R00476,L00421
PG-R00477,L00422
PG-R00478,L00423
PG-R00479,L00424
PG-R00480,L00425
PG-R00481,L00426
PG-R00482,L00427
PG-R00483,L00428
PG-R00484,L00429
PG-R00485,L00430
PG-R00486,L00431
PG-R00489,L00432
PG-R00487,L00432
PG-R00488,L00432
PG-R00490,L00433
PG-R00491,L00434
PG-R00492,L00435
PG-R00493,L00436
PG-R00495,L00437
PG-R00494,L00437
PG-R00496,L00438
PG-R00497,L00439
PG-R00498,L00440
PG-R00499,L00441
PG-R00500,L00442
PG-R00501,L00443
PG-R00504,L00444
PG-R00502,L00444
PG-R00503,L00444
PG-R00505,L00445
PG-R00506,L00446
PG-R00507,L00447
PG-R00508,L00448
PG-R00509,L00449
PG-R00510,L00450
PG-R00511,L00451
PG-R00512,L00452
PG-R00513,L00453
PG-R00514,L00454
PG-R00515,L00455
PG-R00516,L00456
PG-R00517,L00457
PG-R00518,L00458
PG-R00519,L00459
PG-R00520,L00460
PG-R00521,L00461
PG-R00522,L00461
PG-R00523,L00462
PG-R00524,L00463
PG-R00525,L00464
PG-R00526,L00464
PG-R00527,L00465
PG-R00528,L00466
PG-R00529,L00467
PG-R00530,L00467
PG-R00531,L00468
PG-R00532,L00469
PG-R00535,L00470
PG-R00533,L00470
PG-R00534,L00470
PG-R00536,L00471
PG-R00537,L00472
PG-R00538,L00473
PG-R00539,L00474
PG-R00540,L00475
PG-R00541,L00476
PG-R00542,L00477
PG-R00543,L00478
PG-R00544,L00479
PG-R00545,L00479
PG-R00546,L00480
PG-R00547,L00481
PG-R00548,L00482
PG-R00549,L00483
PG-R00550,L00483
PG-R00551,L00484
PG-R00552,L00485
PG-R00553,L00486
PG-R00554,L00487
PG-R00556,L00488
PG-R00555,L00488
PG-R00557,L00489
PG-R00558,L00490
PG-R00559,L00491
PG-R00560,L00492
PG-R00561,L00493
PG-R00562,L00493
PG-R00563,L00494
PG-R00564,L00494
PG-R00565,L00495
PG-R00566,L00496
PG-R00567,L00497
PG-R00569,L00498
PG-R00568,L00498
PG-R00570,L00499
PG-R00571,L00500
PG-R00572,L00501
PG-R00573,L00502
PG-R00574,L00503
PG-R00575,L00504
PG-R00576,L00505
PG-R00577,L00506
PG-R00578,L00507
PG-R00579,L00508
PG-R00580,L00508
PG-R00581,L00509
PG-R00582,L00510
PG-R00583,L00510
PG-R00584,L00511
PG-R00585,L00512
PG-R00586,L00513
PG-R00587,L00514
PG-R00588,L00515
PG-R00589,L00516
PG-R00590,L00517
PG-R00591,L00518
PG-R00592,L00519
PG-R00593,L00520
PG-R00594,L00521
PG-R00595,L00522
PG-R00596,L00523
PG-R00597,L00524
PG-R00598,L00525
PG-R00599,L00526
PG-R00600,L00527
PG-R00602,L00528
PG-R00601,L00528
PG-R00603,L00529
PG-R00604,L00530
PG-R00605,L00531
PG-R00606,L00532
PG-R00607,L00533
PG-R00608,L00534
PG-R00609,L00535
PG-R00610,L00535
PG-R00611,L00536
PG-R00612,L00536
PG-R00613,L00537
PG-R00614,L00538
PG-R00615,L00539
PG-R00616,L00540
PG-R00617,L00541
PG-R00618,L00542
PG-R00619,L00543
PG-R00620,L00544
PG-R00621,L00545
PG-R00622,L00546
PG-R00623,L00547
PG-R00624,L00548
PG-R00625,L00548
PG-R00626,L00549
PG-R00627,L00550
PG-R00629,L00551
PG-R00628,L00551
PG-R00631,L00552
PG-R00630,L00552
PG-R00632,L00553
PG-R00633,L00554
PG-R00634,L00555
PG-R00635,L00556
PG-R00636,L00557
PG-R00637,L00558
PG-R00638,L00559
PG-R00639,L00560
PG-R00641,L00561
PG-R00640,L00561
PG-R00642,L00562
PG-R00643,L00563
PG-R00644,L00564
PG-R00645,L00564
PG-R00646,L00565
PG-R00647,L00566
PG-R00648,L00567
PG-R00649,L00568
PG-R00650,L00568
PG-R00651,L00569
PG-R00652,L00570
PG-R00653,L00571
PG-R00654,L00572
PG-R00655,L00573
PG-R00656,L00574
PG-R00657,L00575
PG-R00658,L00576
PG-R00659,L00577
PG-R00660,L00578
PG-R00661,L00579
PG-R00662,L00579
PG-R00663,L00580
PG-R00664,L00581
PG-R00665,L00582
PG-R00666,L00583
PG-R00667,L00584
PG-R00668,L00585
PG-R00671,L00586
PG-R00669,L00586
PG-R00670,L00586
PG-R00672,L00587
PG-R00673,L00588
PG-R00675,L00589
PG-R00674,L00589
PG-R00676,L00590
PG-R00677,L00591
PG-R00678,L00592
PG-R00679,L00593
PG-R00680,L00594
PG-R00681,L00595
PG-R00683,L00596
PG-R00682,L00596
PG-R00684,L00597
PG-R00685,L00598
PG-R00686,L00598
PG-R00687,L00599
PG-R00688,L00600
PG-R00689,L00601
PG-R00690,L00602
PG-R00691,L00603
PG-R00692,L00604
PG-R00693,L00605
PG-R00694,L00606
PG-R00695,L00607
PG-R00696,L00608
PG-R00697,L00609
PG-R00698,L00610
PG-R00699,L00611
PG-R00700,L00612
PG-R00701,L00613
PG-R00702,L00614
PG-R00703,L00615
PG-R00704,L00616
PG-R00705,L00617
PG-R00706,L00618
PG-R00707,L00619
PG-R00708,L00620
PG-R00709,L00621
PG-R00710,L00622
PG-R00711,L00623
PG-R00712,L00624
PG-R00713,L00625
PG-R00714,L00626
PG-R00715,L00627
PG-R00716,L00628
PG-R00717,L00629
PG-R00718,L00630
PG-R00720,L00631
PG-R00719,L00631
PG-R00721,L00632
PG-R00722,L00632
PG-R00723,L00633
PG-R00724,L00634
PG-R00725,L00635
PG-R00726,L00636
PG-R00727,L00637
PG-R00729,L00638
PG-R00728,L00638
PG-R00730,L00639
PG-R00731,L00640
PG-R00732,L00641
PG-R00733,L00642
PG-R00734,L00642
PG-R00735,L00643
PG-R00736,L00644
PG-R00737,L00645
PG-R00738,L00646
PG-R00739,L00647
PG-R00740,L00648
PG-R00741,L00649
PG-R00742,L00650
PG-R00743,L00650
PG-R00744,L00651
PG-R00745,L00652
PG-R00746,L00653
PG-R00747,L00654
PG-R00748,L00655
PG-R00749,L00656
PG-R00750,L00657
PG-R00751,L00658
PG-R00752,L00659
PG-R00753,L00660
PG-R00754,L00661
PG-R00755,L00662
PG-R00756,L00663
PG-R00757,L00664
PG-R00758,L00665
PG-R00759,L00666
PG-R00760,L00666
PG-R00761,L00667
PG-R00762,L00668
PG-R00763,L00669
PG-R00764,L00670
PG-R00765,L00671
PG-R00766,L00672
PG-R00767,L00672
PG-R00768,L00673
PG-R00769,L00674
PG-R00770,L00675
PG-R00771,L00676
PG-R00772,L00677
PG-R00773,L00678
PG-R00774,L00679
PG-R00775,L00680
PG-R00776,L00680
PG-R00777,L00681
PG-R00778,L00682
PG-R00779,L00683
PG-R00780,L00684
PG-R00781,L00685
PG-R00782,L00686
PG-R00783,L00687
PG-R00784,L00687
PG-R00785,L00688
PG-R00786,L00689
PG-R00787,L00690
PG-R00788,L00691
PG-R00789,L00692
PG-R00790,L00693
PG-R00791,L00694
PG-R00793,L00695
PG-R00792,L00695
PG-R00794,L00696
PG-R00796,L00698
PG-R00798,L00699
PG-R00797,L00699
PG-R00799,L00700
PG-R00800,L00701
PG-R00801,L00702
PG-R00802,L00703
PG-R00803,L00704
PG-R00804,L00705
PG-R00805,L00706
PG-R00806,L00707
PG-R00807,L00708
PG-R00808,L00708
PG-R00809,L00709
PG-R00810,L00710
PG-R00811,L00711
PG-R00812,L00712
PG-R00813,L00713
PG-R00814,L00714
PG-R00815,L00715
PG-R00816,L00716
PG-R00817,L00717
PG-R00818,L00718
PG-R00819,L00719
PG-R00820,L00720
PG-R00821,L00721
PG-R00822,L00722
PG-R00823,L00723
PG-R00826,L00724
PG-R00824,L00724
PG-R00825,L00724
PG-R00827,L00725
PG-R00828,L00726
PG-R00829,L00727
PG-R00830,L00728
PG-R00831,L00729
PG-R00832,L00730
PG-R00833,L00731
PG-R00836,L00732
PG-R00834,L00732
PG-R00835,L00732
PG-R00837,L00733
PG-R00838,L00734
PG-R00839,L00735
PG-R00840,L00736
PG-R00843,L00737
PG-R00841,L00737
PG-R00842,L00737
PG-R00845,L00738
PG-R00844,L00738
PG-R00846,L00739
PG-R00847,L00740
PG-R00848,L00741
PG-R00849,L00742
PG-R00850,L00743
PG-R00851,L00743
PG-R00852,L00744
PG-R00853,L00745
PG-R00854,L00746
PG-R00855,L00747
PG-R00856,L00748
PG-R00857,L00749
PG-R00858,L00750
PG-R00859,L00751
PG-R00860,L00752
PG-R00861,L00753
PG-R00862,L00754
PG-R00863,L00755
PG-R00864,L00756
PG-R00865,L00757
PG-R00866,L00758
PG-R00867,L00759
PG-R00868,L00760
PG-R00869,L00761
PG-R00870,L00762
PG-R00871,L00763
PG-R00872,L00764
PG-R00873,L00765
PG-R00874,L00766
PG-R00875,L00767
PG-R00876,L00768
PG-R00877,L00769
PG-R00878,L00770
PG-R00879,L00771
PG-R00880,L00772
PG-R00881,L00773
PG-R00882,L00774
PG-R00883,L00775
PG-R00884,L00776
PG-R00885,L00777
PG-R00886,L00777
PG-R00888,L00778
PG-R00887,L00778
PG-R00889,L00779
PG-R00890,L00780
PG-R00892,L00781
PG-R00891,L00781
PG-R00893,L00782
PG-R00894,L00783
PG-R00895,L00784
PG-R00896,L00785
PG-R00897,L00786
PG-R00898,L00787
PG-R00900,L00788
PG-R00899,L00788
PG-R00901,L00789
PG-R00902,L00790
PG-R00903,L00791
PG-R00904,L00792
PG-R00905,L00793
PG-R00906,L00793
PG-R00908,L00794
PG-R00907,L00794
PG-R00909,L00795
PG-R00910,L00796
PG-R00911,L00797
PG-R00912,L00798
PG-R00913,L00799
PG-R00914,L00800
PG-R00915,L00801
PG-R00916,L00802
PG-R00917,L00803
PG-R00918,L00804
PG-R00919,L00805
PG-R00920,L00806
PG-R00921,L00807
PG-R00922,L00808
PG-R00923,L00809
PG-R00924,L00810
PG-R00925,L00811
PG-R00926,L00812
PG-R00927,L00813
PG-R00928,L00813
PG-R00929,L00814
PG-R00930,L00815
PG-R00931,L00816
PG-R00932,L00817
PG-R00933,L00818
PG-R00934,L00819
PG-R00935,L00819
PG-R00936,L00820
PG-R00937,L00821
PG-R00938,L00822
PG-R00939,L00823
PG-R00940,L00824
PG-R00941,L00825
PG-R00942,L00826
PG-R00943,L00827
PG-R00944,L00828
PG-R00945,L00829
PG-R00946,L00830
PG-R00947,L00831
PG-R00948,L00832
PG-R00949,L00833
PG-R00950,L00834
PG-R00951,L00835
PG-R00952,L00836
PG-R00953,L00837
PG-R00954,L00838
PG-R00956,L00839
PG-R00955,L00839
PG-R00957,L00840
PG-R00959,L00841
PG-R00958,L00841
PG-R00960,L00842
PG-R00961,L00843
PG-R00962,L00844
PG-R00963,L00845
PG-R00964,L00846
PG-R00965,L00847
PG-R00966,L00848
PG-R00967,L00849
PG-R00968,L00850
PG-R00969,L00851
PG-R00970,L00851
PG-R00971,L00852
PG-R00972,L00853
PG-R00973,L00854
PG-R00974,L00854
PG-R00975,L00855
PG-R00976,L00856
PG-R00977,L00857
PG-R00979,L00858
PG-R00978,L00858
PG-R00980,L00859
PG-R00981,L00860
PG-R00984,L00861
PG-R00982,L00861
PG-R00983,L00861
PG-R00985,L00862
PG-R00986,L00863
PG-R00987,L00863
PG-R00988,L00864
PG-R00989,L00865
PG-R00990,L00866
PG-R00991,L00867
PG-R00992,L00867
PG-R00994,L00869
PG-R00995,L00869
PG-R00996,L00870
PG-R00997,L00871
PG-R00998,L00872
PG-R00999,L00873
PG-R01001,L00874
PG-R01000,L00874
PG-R01002,L00875
PG-R01004,L00876
PG-R01003,L00876
PG-R01005,L00877
PG-R01006,L00878
PG-R01007,L00879
PG-R01008,L00880
PG-R01009,L00881
PG-R01011,L00882
PG-R01010,L00882
PG-R01012,L00883
PG-R01013,L00884
PG-R01014,L00885
PG-R01017,L00887
PG-R01018,L00887
PG-R01019,L00888
PG-R01020,L00889
PG-R01021,L00890
PG-R01022,L00891
PG-R01023,L00892
PG-R01024,L00893
PG-R01025,L00894
PG-R01026,L00895
PG-R01028,L00897
PG-R01029,L00898
PG-R01030,L00899
PG-R01031,L00900
PG-R01033,L00901
PG-R01032,L00901
PG-R01034,L00902
PG-R01035,L00903
PG-R01036,L00904
PG-R01037,L00904
PG-R01038,L00905
PG-R01039,L00906
PG-R01040,L00907
PG-R01041,L00908
PG-R01042,L00908
PG-R01044,L00909
PG-R01043,L00909
PG-R01045,L00910
PG-R01046,L00911
PG-R01047,L00912
PG-R01049,L00913
PG-R01048,L00913
PG-R01050,L00914
PG-R01051,L00915
PG-R01052,L00916
PG-R01053,L00917
PG-R01054,L00918
PG-R01055,L00919
PG-R01056,L00920
PG-R01057,L00921
PG-R01058,L00922
PG-R01059,L00922
PG-R01061,L00923
PG-R01060,L00923
PG-R01062,L00924
PG-R01063,L00925
PG-R01065,L00926
PG-R01064,L00926
PG-R01066,L00927
PG-R01067,L00928
PG-R01068,L00928
PG-R01069,L00929
PG-R01071,L00930
PG-R01070,L00930
PG-R01072,L00931
PG-R01074,L00932
PG-R01073,L00932
PG-R01075,L00933
PG-R01076,L00934
PG-R01077,L00935
PG-R01078,L00936
PG-R01079,L00936
PG-R01080,L00937
PG-R01081,L00938
PG-R01082,L00939
PG-R01083,L00940
PG-R01084,L00941
PG-R01085,L00942
PG-R01086,L00942
PG-R01087,L00943
PG-R01088,L00944
PG-R01090,L00945
PG-R01089,L00945
PG-R01092,L00946
PG-R01091,L00946
PG-R01093,L00947
PG-R01094,L00948
PG-R01095,L00949
PG-R01096,L00950
PG-R01097,L00951
PG-R01098,L00952
PG-R01099,L00952
PG-R01100,L00953
PG-R01101,L00954
PG-R01102,L00955
PG-R01104,L00956
PG-R01103,L00956
PG-R01105,L00957
PG-R01106,L00958
PG-R01107,L00959
PG-R01108,L00960
PG-R01109,L00961
PG-R01110,L00962
PG-R01111,L00963
PG-R01112,L00963
PG-R01113,L00964
PG-R01115,L00966
PG-R01116,L00967
PG-R01117,L00968
PG-R01118,L00969
PG-R01119,L00970
PG-R01120,L00971
PG-R01121,L00972
PG-R01122,L00972
PG-R01123,L00973
PG-R01124,L00974
PG-R01125,L00975
PG-R01126,L00975
PG-R01127,L00976
PG-R01128,L00977
PG-R01130,L00978
PG-R01129,L00978
PG-R01131,L00979
PG-R01132,L00980
PG-R01133,L00981
PG-R01134,L00982
PG-R01135,L00982
PG-R01136,L00983
PG-R01137,L00984
PG-R01138,L00985
PG-R01139,L00986
PG-R01140,L00987
PG-R01141,L00988
PG-R01142,L00989
PG-R01143,L00989
PG-R01144,L00990
PG-R01145,L00991
PG-R01146,L00992
PG-R01147,L00993
PG-R01148,L00994
PG-R01149,L00995
PG-R01150,L00996
PG-R01151,L00997
PG-R01152,L00998
PG-R01153,L00999
PG-R01154,L01000
